id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
1768,60147,HOP-IN FOOD STORES,US-82 & SR-22,Maplesville,AL,720,3.399,32.7627818,-86.8758552
1769,60191,PILOT #1180,"I-10, EXIT 94",Tonopah,AZ,930,3.899,33.290477,-112.613467
1771,60206,TA EXPRESS #649,"I-25, EXIT 52",Walsenburg,CO,796,4.259,37.625526,-104.782072
1772,60208,BERKSHIRE PETROLEUM,"I-91, EXIT 9",North Haven,CT,100,3.549,41.3909305,-72.859545
1773,60220,ZELLWOOD TRUCK STOP,US-441,Zellwood,FL,140,3.499,28.7298898,-81.6025791
1774,60224,SUNSTOP #419,US-19,Camilla,GA,20,3.499,31.2249677,-84.1980139
1775,60226,CIRCLE K #2723903,US-82 & SR-520,Dawson,GA,20,3.499,31.7735001,-84.4465827
1776,60229,96 TRAVEL PLAZA,"I-16, EXIT 24",Jeffersonville                          ,GA,85,3.399,32.6876606,-83.3470598
1777,60230,CIRCLE K #2745152,US-19,Pelham,GA,20,3.499,31.12535,-84.15424
1778,60242,KWIK STAR #711,US-18/US-52,Monona,IA,565,3.624,43.0817045,-91.562654
1779,60243,PETRO MART,"I-29, EXIT 112",Onawa,IA,527,3.157,42.02665,-96.13224
1781,60248,METRO,"I-95, EXIT 12",Avenel                                  ,NJ,115,3.299,40.5427875,-74.3101639
1782,60250,ELIZABETH TRUCK STOP,"I-95, EXIT 13A & SR-81",Elizabethport,NJ,115,3.399,40.6501031,-74.1870888
1783,60255,HUCKS FOOD & FUEL #186,US-51/CR-1450 & US-136,Heyworth,IL,368,3.479,40.3254004,-88.989277
1785,60256,BOLLA MARKET,"I-84, EXIT 1",Montague,NJ,115,3.519,41.30315,-74.7935
1786,60270,CHUCKLES #27,SR-57,Washington                              ,IN,340,3.339,38.646254,-87.1730419
1787,60273,24-7,"I-70, EXIT 53 & SR-25",Colby,KS,525,3.056,39.3959655,-101.0526881
1788,60280,JUMP START #9,"I-35, EXIT 4",South Haven,KS,570,3.069,37.049727,-97.4013324
1789,60282,CRVS #7,SR-96 & SR-27,Tribune,KS,525,3.399,38.4697378,-101.752672
1791,60295,EXIT 80 TRAVEL PLAZA,"I-10, EXIT 80",Crowley                                 ,LA,730,3.109,30.23548,-92.38541
1792,60298,BEAU CHENE TRUCK STOP,"I-49, EXIT 11",Grand Coteau,LA,730,3.399,30.4199203,-92.0465087
1793,60313,WHITE MARSH TRUCK STOP,US-40,White Marsh                             ,MD,22,3.369,39.3884,-76.453729
1794,60316,CIRCLE K #4707001,"I-95, EXIT 264 & SR-158",Sherman,ME,170,3.932,45.8727797,-68.3866057
1795,60324,FUEL MART OF AMERICA,"I-75, EXIT 59",Detroit                                 ,MI,325,3.499,42.3315509,-83.0466403
1796,60326,SUNRISE CONVENIENCE STORE #29,"I-69, EXIT 184                ",Memphis                                 ,MI,325,3.559,42.8964179,-82.7688135
1798,60328,SPEEDWAY #8748,"I-69, EXIT 6",Flint,MI,342,3.339,43.0161693,-83.6900211
1799,60329,CHARLIES COUNTRY CORNER,"I-75, EXIT 271",Grayling,MI,287,3.899,44.661517,-84.714637
1801,60333,LAKESHORE BP,US-2,Manistique,MI,287,3.499,45.9641436,-86.2088478
1802,60341,SNAPPY FOOD MART,ST 60,Tekonsha,MI,431,3.589,42.0933791,-84.9858051
1803,60342,True North #254,US-31 & SR-37,Traverse City,MI,456,3.789,44.7688293,-85.6344023
1805,60344,DORR TRUCK STOP,"US-131, EXIT 68",Wayland,MI,344,3.499,42.722156,-85.670641
1807,60358,PETRO SERVE USA #54,US-10,Glyndon,MN,341,3.449,46.8769922,-96.589332
1808,60372,FLYING W CONVENIENCE STORE,SR-96,Carthage                                ,MO,277,3.199,37.167921,-94.308992
1809,60373,FLYING J #571,"I-57, EXIT 12 & US-60",Charleston,MO,490,3.559,36.919585,-89.320816
1810,60374,PILOT TRAVEL CENTERS #385,US-54 & SR-13,Collins                                 ,MO,416,3.496,37.8911552,-93.6201211
1811,60379,FAST LANE #50,US-54/SR-19,Laddonia,MO,540,3.157,39.2499067,-91.6452751
1812,60380,AMOCO,US-63/US-136,Lancaster,MO,320,3.249,40.5225275,-92.544157
1813,60382,WINDSTARS #5101,"I-435, EXIT 57",Kansas City,MO,400,3.099,39.1727771,-94.488587
1814,60383,CASEYS #4399,"I-70, EXIT 175",New Florence,MO,392,2.949,38.9103198,-91.4482167
1815,60392,Kangaroo Crossing #1107,"I-20, EXIT 68 & SR-43",Pelahatchie,MS,705,3.199,32.3132159,-89.7989402
1817,60400,CAN AM C STORE,SR-16,Plentywood,MT,807,3.499,48.77475,-104.562458
1818,60416,MINUTEMAN FOOD MART #20,US-74 & US-76,Whiteville                              ,NC,245,3.461,34.3217345,-78.703148
1819,60420,PUMP & PANTRY #35,US-183,Alma,NE,330,3.459,40.0925022,-99.3716483
1820,60426,BONS BONS MOBIL,US-3,Merrimack,NH,125,3.699,42.778656,-71.494102
1821,60434,ENRITE,US-9,Linden,NJ,79,3.342,40.6112209,-74.2575809
1822,60442,Circle K #4706716,SR-71 & SR-47,Yorkville,IL,290,3.799,41.6411409,-88.4472948
1825,60460,HAHN OIL,US-36,Coshocton                               ,OH,315,3.299,40.28255,-81.873695
1826,60461,TRUE NORTH #704,"I-75, EXIT 56A",Dayton                                  ,OH,317,3.799,39.7589478,-84.1916069
1827,60463,Anna Truck Stop,"I-75, EXIT 99",Anna,OH,411,3.016,40.3948773,-84.1729332
1828,60465,MOTOMART #4129,ST 309,Marion                                  ,OH,411,3.342,40.5886259,-83.1287349
1829,60471,FUEL MART #701,"I-480/I-271, EXIT 23 & SR-8",Bedford,OH,305,3.529,41.39311,-81.536509
1830,60473,BELL STORES #50,ST 3,Wooster,OH,249,3.599,40.7980976,-81.9397733
1831,60476,PETES #11,US-75,Dewey,OK,560,3.154,36.853456,-95.935224
1832,60508,FEGLEY VALERO,SR-309,Tamaqua,PA,90,3.599,40.7974296,-75.9696186
1833,60513,CIRCLE K #2723873,US-17,Georgetown,SC,42,2.899,38.2099837,-84.5597128
1835,60516,ENMARKET #892,"I-95, EXIT 150",Harleyville,SC,195,3.399,33.2146069,-80.4478745
1836,60519,CORNER PANTRY #25,US-14,Huron,SD,571,3.079,44.371175,-98.2559718
1837,60538,TEXACO #380031,ST 21W,Bryan,TX,765,3.399,30.6743643,-96.3699632
1838,60539,SHELL,US-96 & SR-62/FM-1004,Buna,TX,610,3.102,30.4264179,-93.983416
